timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/04/03 19:36:22.727, 100 %, 100 %, 12984 MiB, 86, 175.52 W
2026/04/03 19:36:27.727, 16 %, 2 %, 12984 MiB, 84, 123.35 W
2026/04/03 19:36:32.728, 100 %, 100 %, 12984 MiB, 86, 191.02 W
2026/04/03 19:36:38.079, 100 %, 100 %, 12984 MiB, 86, 183.24 W
2026/04/03 19:36:43.338, 100 %, 100 %, 12984 MiB, 86, 178.28 W
2026/04/03 19:36:48.489, 100 %, 100 %, 12984 MiB, 86, 174.95 W
2026/04/03 19:36:53.608, 0 %, 0 %, 12984 MiB, 84, 125.67 W
2026/04/03 19:36:58.608, 100 %, 100 %, 12984 MiB, 86, 191.90 W
2026/04/03 19:37:03.609, 100 %, 100 %, 12984 MiB, 86, 179.95 W
2026/04/03 19:37:08.610, 100 %, 100 %, 12984 MiB, 86, 177.46 W
2026/04/03 19:37:13.725, 0 %, 0 %, 12984 MiB, 85, 141.62 W
2026/04/03 19:37:18.726, 0 %, 0 %, 12984 MiB, 83, 110.26 W
2026/04/03 19:37:23.727, 100 %, 100 %, 12984 MiB, 86, 190.10 W
2026/04/03 19:37:28.727, 100 %, 100 %, 12984 MiB, 86, 181.94 W
2026/04/03 19:37:33.728, 100 %, 100 %, 12984 MiB, 86, 178.18 W
2026/04/03 19:37:38.728, 0 %, 0 %, 12984 MiB, 85, 117.22 W
2026/04/03 19:37:43.729, 100 %, 100 %, 12984 MiB, 86, 198.57 W
2026/04/03 19:37:48.730, 100 %, 100 %, 12984 MiB, 86, 186.46 W
2026/04/03 19:37:53.730, 100 %, 100 %, 12984 MiB, 86, 180.34 W
2026/04/03 19:37:58.731, 100 %, 100 %, 12984 MiB, 86, 175.89 W
2026/04/03 19:38:03.731, 16 %, 2 %, 12984 MiB, 85, 127.75 W
2026/04/03 19:38:08.732, 100 %, 100 %, 12984 MiB, 86, 193.44 W
2026/04/03 19:38:13.733, 100 %, 100 %, 12984 MiB, 86, 184.77 W
2026/04/03 19:38:18.733, 100 %, 100 %, 12984 MiB, 86, 179.61 W
2026/04/03 19:38:23.734, 100 %, 100 %, 12984 MiB, 86, 175.75 W
2026/04/03 19:38:28.735, 16 %, 2 %, 12984 MiB, 85, 127.58 W
2026/04/03 19:38:33.736, 100 %, 100 %, 12984 MiB, 86, 191.37 W
2026/04/03 19:38:38.736, 100 %, 100 %, 12984 MiB, 86, 184.50 W
2026/04/03 19:38:43.737, 100 %, 100 %, 12984 MiB, 86, 178.95 W
2026/04/03 19:38:48.737, 100 %, 100 %, 12984 MiB, 86, 175.88 W
2026/04/03 19:38:53.738, 17 %, 2 %, 12984 MiB, 85, 127.54 W
2026/04/03 19:38:58.738, 100 %, 100 %, 12984 MiB, 86, 189.29 W
2026/04/03 19:39:03.739, 100 %, 100 %, 12984 MiB, 86, 183.85 W
2026/04/03 19:39:08.740, 100 %, 100 %, 12984 MiB, 86, 178.15 W
2026/04/03 19:39:13.740, 100 %, 100 %, 12984 MiB, 86, 174.63 W
2026/04/03 19:39:18.741, 15 %, 1 %, 12984 MiB, 84, 126.73 W
2026/04/03 19:39:23.741, 100 %, 100 %, 12984 MiB, 86, 187.39 W
2026/04/03 19:39:28.742, 100 %, 100 %, 12984 MiB, 86, 180.87 W
2026/04/03 19:39:33.743, 0 %, 0 %, 12984 MiB, 85, 143.37 W
2026/04/03 19:39:38.743, 20 %, 1 %, 12984 MiB, 83, 106.89 W
2026/04/03 19:39:43.913, 0 %, 0 %, 12984 MiB, 84, 126.66 W
2026/04/03 19:39:48.913, 100 %, 100 %, 12984 MiB, 85, 174.73 W
2026/04/03 19:39:53.914, 100 %, 100 %, 12984 MiB, 86, 196.11 W
2026/04/03 19:39:58.914, 100 %, 100 %, 12984 MiB, 86, 189.05 W
2026/04/03 19:40:03.915, 100 %, 100 %, 12984 MiB, 86, 182.04 W
2026/04/03 19:40:08.915, 16 %, 2 %, 12984 MiB, 84, 121.92 W
2026/04/03 19:40:13.916, 100 %, 100 %, 12984 MiB, 86, 196.97 W
2026/04/03 19:40:18.917, 100 %, 100 %, 12984 MiB, 86, 186.70 W
2026/04/03 19:40:23.917, 100 %, 100 %, 12984 MiB, 86, 181.84 W
2026/04/03 19:40:28.918, 100 %, 100 %, 12984 MiB, 86, 175.84 W
2026/04/03 19:40:33.918, 17 %, 2 %, 12984 MiB, 85, 129.12 W
2026/04/03 19:40:38.920, 100 %, 100 %, 12984 MiB, 86, 195.82 W
2026/04/03 19:40:43.979, 100 %, 100 %, 12984 MiB, 86, 185.38 W
2026/04/03 19:40:49.175, 100 %, 100 %, 12984 MiB, 86, 179.97 W
2026/04/03 19:40:54.375, 100 %, 100 %, 12984 MiB, 86, 175.42 W
2026/04/03 19:40:59.567, 29 %, 19 %, 12984 MiB, 85, 128.74 W
2026/04/03 19:41:04.568, 100 %, 100 %, 12984 MiB, 86, 187.01 W
2026/04/03 19:41:09.569, 100 %, 100 %, 12984 MiB, 86, 182.20 W
2026/04/03 19:41:14.592, 100 %, 100 %, 12984 MiB, 86, 177.32 W
2026/04/03 19:41:19.877, 18 %, 0 %, 12984 MiB, 85, 117.47 W
2026/04/03 19:41:24.877, 0 %, 0 %, 12984 MiB, 85, 131.03 W
2026/04/03 19:41:29.878, 100 %, 100 %, 12984 MiB, 86, 189.56 W
2026/04/03 19:41:34.878, 100 %, 100 %, 12984 MiB, 86, 182.43 W
2026/04/03 19:41:39.879, 100 %, 100 %, 12984 MiB, 86, 177.62 W
2026/04/03 19:41:44.880, 16 %, 2 %, 12984 MiB, 85, 119.15 W
2026/04/03 19:41:49.880, 100 %, 100 %, 12984 MiB, 86, 194.63 W
2026/04/03 19:41:54.881, 100 %, 100 %, 12984 MiB, 86, 184.26 W
2026/04/03 19:41:59.882, 100 %, 100 %, 12984 MiB, 86, 179.52 W
2026/04/03 19:42:04.882, 100 %, 100 %, 12984 MiB, 86, 174.57 W
2026/04/03 19:42:09.883, 16 %, 2 %, 12984 MiB, 85, 126.77 W
2026/04/03 19:42:14.884, 100 %, 100 %, 12984 MiB, 86, 192.89 W
2026/04/03 19:42:19.969, 100 %, 100 %, 12984 MiB, 86, 184.31 W
2026/04/03 19:42:25.236, 100 %, 100 %, 12984 MiB, 86, 179.45 W
2026/04/03 19:42:30.394, 100 %, 100 %, 12984 MiB, 86, 174.81 W
2026/04/03 19:42:35.521, 16 %, 2 %, 12984 MiB, 85, 129.44 W
2026/04/03 19:42:40.521, 100 %, 100 %, 12984 MiB, 86, 188.80 W
2026/04/03 19:42:45.522, 100 %, 100 %, 12984 MiB, 86, 182.35 W
2026/04/03 19:42:50.523, 100 %, 100 %, 12984 MiB, 86, 177.62 W
2026/04/03 19:42:55.523, 100 %, 100 %, 12984 MiB, 86, 173.75 W
2026/04/03 19:43:00.524, 0 %, 0 %, 12984 MiB, 84, 120.47 W
