epoch,train_rmse,val_rmse,train_mae,val_mae,current_lr,C,h_base_0,h_base_1,h_active_0,h_active_1,T_thresh_0,T_thresh_1,beta_0,beta_1,k01,k10,q0,q1,epoch_time_sec
112,3.432319,3.494859,2.377030,2.520203,0.010000,980.9106,3.6178,4.0327,10.9601,10.9820,70.1781,66.2641,1.0278,0.8336,0.0273,0.0066,-7.7632,-8.1016,341.00
113,3.431155,3.493884,2.376099,2.519258,0.010000,981.2415,3.6166,4.0319,10.9947,11.0061,70.1719,66.2547,1.0330,0.8382,0.0272,0.0065,-7.7824,-8.1196,348.20
114,3.430359,3.492891,2.375437,2.518261,0.010000,981.5636,3.6153,4.0309,11.0289,11.0294,70.1658,66.2467,1.0381,0.8428,0.0271,0.0065,-7.8014,-8.1373,349.48
115,3.429453,3.491940,2.374517,2.517338,0.010000,981.8776,3.6140,4.0301,11.0631,11.0529,70.1592,66.2367,1.0432,0.8474,0.0270,0.0064,-7.8201,-8.1548,347.44
116,3.428988,3.490982,2.374004,2.516368,0.010000,982.1838,3.6126,4.0292,11.0968,11.0755,70.1530,66.2283,1.0482,0.8519,0.0269,0.0064,-7.8386,-8.1722,359.33
117,3.428665,3.490085,2.373687,2.515505,0.010000,982.4824,3.6114,4.0284,11.1304,11.0979,70.1464,66.2194,1.0533,0.8565,0.0268,0.0064,-7.8569,-8.1894,384.51
118,3.427120,3.489184,2.372504,2.514621,0.010000,982.7737,3.6102,4.0275,11.1637,11.1202,70.1404,66.2099,1.0583,0.8610,0.0267,0.0063,-7.8751,-8.2064,348.06
119,3.426709,3.488267,2.371973,2.513695,0.010000,983.0577,3.6089,4.0265,11.1967,11.1419,70.1346,66.2010,1.0632,0.8654,0.0266,0.0063,-7.8930,-8.2231,345.97
120,3.425935,3.487388,2.371349,2.512798,0.010000,983.3350,3.6077,4.0258,11.2292,11.1631,70.1295,66.1925,1.0682,0.8699,0.0265,0.0062,-7.9108,-8.2398,345.43
121,3.425681,3.486546,2.370943,2.511986,0.010000,983.6056,3.6066,4.0249,11.2619,11.1841,70.1233,66.1837,1.0731,0.8743,0.0264,0.0062,-7.9284,-8.2562,346.29
122,3.424565,3.485648,2.370138,2.511053,0.010000,983.8698,3.6051,4.0238,11.2942,11.2045,70.1176,66.1756,1.0779,0.8788,0.0263,0.0061,-7.9458,-8.2724,348.37
123,3.424267,3.484857,2.369824,2.510317,0.010000,984.1277,3.6040,4.0230,11.3266,11.2250,70.1106,66.1663,1.0828,0.8831,0.0262,0.0061,-7.9631,-8.2885,349.58
124,3.423643,3.484051,2.369286,2.509517,0.010000,984.3796,3.6028,4.0222,11.3585,11.2448,70.1049,66.1581,1.0876,0.8875,0.0261,0.0061,-7.9801,-8.3045,344.35
125,3.422832,3.483253,2.368531,2.508736,0.010000,984.6257,3.6017,4.0213,11.3902,11.2644,70.0990,66.1495,1.0923,0.8919,0.0260,0.0060,-7.9970,-8.3202,368.91
126,3.422008,3.482473,2.367834,2.507946,0.010000,984.8664,3.6005,4.0206,11.4217,11.2835,70.0938,66.1418,1.0971,0.8962,0.0260,0.0060,-8.0137,-8.3358,363.06
127,3.421265,3.481683,2.367115,2.507125,0.010000,985.1013,3.5994,4.0198,11.4527,11.3023,70.0894,66.1340,1.1018,0.9006,0.0259,0.0059,-8.0302,-8.3512,346.10
128,3.420692,3.480907,2.366624,2.506358,0.010000,985.3308,3.5981,4.0188,11.4839,11.3210,70.0834,66.1255,1.1065,0.9049,0.0258,0.0059,-8.0465,-8.3664,350.33
129,3.420285,3.480166,2.366204,2.505624,0.010000,985.5554,3.5969,4.0180,11.5149,11.3395,70.0775,66.1168,1.1112,0.9092,0.0257,0.0059,-8.0627,-8.3815,355.02
130,3.418934,3.479463,2.365245,2.504943,0.010000,985.7750,3.5961,4.0173,11.5454,11.3571,70.0727,66.1097,1.1158,0.9134,0.0256,0.0058,-8.0787,-8.3964,345.17
131,3.419488,3.478748,2.365330,2.504235,0.010000,985.9896,3.5949,4.0165,11.5760,11.3749,70.0671,66.1011,1.1204,0.9177,0.0255,0.0058,-8.0945,-8.4112,348.67
132,3.418366,3.478011,2.364565,2.503461,0.010000,986.1998,3.5937,4.0157,11.6061,11.3919,70.0624,66.0939,1.1250,0.9219,0.0254,0.0057,-8.1102,-8.4258,348.33
133,3.417559,3.477306,2.363976,2.502748,0.010000,986.4053,3.5925,4.0149,11.6362,11.4089,70.0573,66.0861,1.1295,0.9261,0.0253,0.0057,-8.1257,-8.4402,342.75
134,3.418038,3.476562,2.363978,2.501939,0.010000,986.6064,3.5912,4.0139,11.6659,11.4253,70.0533,66.0790,1.1340,0.9303,0.0252,0.0057,-8.1410,-8.4545,345.83
135,3.417140,3.475949,2.363413,2.501387,0.010000,986.8035,3.5903,4.0134,11.6958,11.4419,70.0474,66.0706,1.1385,0.9345,0.0251,0.0056,-8.1563,-8.4686,352.35
136,3.416311,3.475316,2.362734,2.500763,0.010000,986.9962,3.5894,4.0128,11.7254,11.4577,70.0424,66.0636,1.1430,0.9387,0.0250,0.0056,-8.1713,-8.4827,365.63
