======================================================================
--- STARTING: 05_NORMALIZE_CLEANED_DUAL_GPU_DATA ---
======================================================================
Found 1 cleaned dual GPU directories. Using 8 cores.


--- Processing Directory: dual_gpu_0000_parquet_to_0019_parquet_cleaned ---
[*] Created shortcut for dual_gpu_0000_parquet_to_0019_parquet_cleaned_normalized in outputs folder.

Pass 1: Finding ACTUAL global max power...

ACTUAL GLOBAL MAX POWER DRAW = 332.510 W

Pass 2: Analyzing GLOBAL power draw distribution...

GLOBAL POWER DRAW SCALE (P99.9) = 267.500 W

Starting parallel processing on 6631 files...
[DEBUG] Skipped 64453268767451-r9102715-n830961_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 64829428245495-r6760045-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 65342222835636-r7343737-n976057_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 65739074481727-r4858666-n386398_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 65962645988121-r5189505-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 65962645988121-r9192091-n851693_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 66069750984289-r2582019-n386398_cleaned.parquet: Zero std dev in temperature_gpu_1
[DEBUG] Skipped 66373703297677-r8937440-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 66379306063705-r4774426-n172998_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 66807981951218-r8642123-n911952_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 6710740835249-r6272977-n976057_cleaned.parquet: Zero std dev in temperature_gpu_0
[DEBUG] Skipped 67967338267320-r9189566-n976057_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 67972576884091-r4822976-n139058_cleaned.parquet: Zero std dev in temperature_memory_0
[DEBUG] Skipped 68386086936110-r5130449-n208530_cleaned.parquet: Zero std dev in temperature_memory_1
[DEBUG] Skipped 68599350912143-r9189566-n976057_cleaned.parquet: Zero std dev in temperature_gpu_1
